"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn2.1297",3195,"Glucan endo-1,3-beta-glucosidase 1 [0.268] | Glucan endo-1,3-beta-glucosidase 13 [0.244] | Glucan endo-1,3-beta-glucosidase 4 [0.195] | glucan endo-1,3-beta-glucosidase-like protein 3 [0.073] | Glucan endo-1,3-beta-glucosidase 3 [0.073] | Glucan endo-1,3-beta-D-glucosidase [0.073] | Glucan endo-1,3-beta-glucosidase 12 [0.049] | Glucan endo-1,3-beta-glucosidase 2 [0.024]","Carbohydrate-binding X8 domain superfamily protein | O-Glycosyl hydrolases family 17 protein","X8 (PF07983) [0.951] | Glyco_hydro_17 (PF00332) [0.415]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [0.415]","carbohydrate metabolic process (GO:0005975) [0.415]","5"
"Pn2.1330",2370,"dormancy-associated protein-like 1 [0.857] | Dormancy/auxin associated family protein [0.143]","Dormancy/auxin associated family protein | dormancy-associated protein-like 1","Auxin_repressed (PF05564) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn2.1331",432,"ADP/ATP carrier 3 [0.407] | ADP/ATP carrier 2 [0.250] | Mitotic checkpoint serine/threonine-protein kinase BUB1 [0.204] | ADP/ATP carrier 1 [0.111] | Checkpoint serine/threonine-protein kinase BUB1 [0.019] | Serine/threonine-protein kinase ppk21 [0.009]","ADP/ATP carrier 2 | ADP/ATP carrier 1 | ATP binding;protein kinases;protein serine/threonine kinases | ADP/ATP carrier 3","Mito_carr (PF00153) [0.769] | Pkinase (PF00069) [0.222] | Mad3_BUB1_I (PF08311) [0.167]","ATP binding (GO:0005524) [0.222] | protein kinase activity (GO:0004672) [0.222]","protein phosphorylation (GO:0006468) [0.222]","1"
"Pn2.1354",2573,"TCP family transcription factor 4 [0.979]","plastid transcription factor 1 | TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 5","TCP (PF03634) [0.979]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn2.1366",6301,"UPF0469 protein KIAA0907 homolog [0.607] | UPF0469 protein KIAA0907 [0.286] | Protein RIK [0.107]","RS2-interacting KH protein","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn2.1379",957,"alpha-glucan phosphorylase 2 [0.347] | Glycogen phosphorylase, muscle form [0.227] | Glycogen phosphorylase 1 [0.227] | Alpha-glucan phosphorylase 1 [0.160] | Glycogen phosphorylase [0.013] | Glycogen phosphorylase, liver form [0.013] | Glycogen phosphorylase 2 [0.013]","alpha-glucan phosphorylase 2 | Glycosyl transferase, family 35","Phosphorylase (PF00343) [1.000] | UBN2_3 (PF14244) [0.013]","glycogen phosphorylase activity (GO:0008184) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000]","1"
"Pn2.1504",106,"methyl esterase 1 [0.237] | methyl esterase 10 [0.193] | methyl esterase 17 [0.184] | methyl esterase 3 [0.145] | methyl esterase 4 [0.035] | methyl esterase 7 [0.026] | methyl esterase 9 [0.013] | methyl esterase 5 [0.013] | similar to RCD one 2 [0.013] | methyl esterase 6 [0.009] | methyl esterase 13 [0.009] | methyl esterase 8 [0.009] | methyl esterase 11 [0.009]","methyl esterase 3 | methyl esterase 4 | methyl esterase 6 | methyl esterase 17 | methyl esterase 10 | acetone-cyanohydrin lyase | methyl esterase 1 | methyl esterase 9 | methyl esterase 5 | methyl esterase 7","Abhydrolase_6 (PF12697) [0.873] | LINES_C (PF14695) [0.083] | LINES_N (PF14694) [0.044] | RST (PF12174) [0.018]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn2.1541",10238,"Protein kinase superfamily protein [0.900] | protein kinase family protein [0.100]","CRINKLY4 related 1 | CRINKLY4 related 2","Pkinase_Tyr (PF07714) [1.000] | RCC1_2 (PF13540) [0.250] | TNFR_c6 (PF00020) [0.200]","protein kinase activity (GO:0004672) [1.000] | protein binding (GO:0005515) [0.200]","protein phosphorylation (GO:0006468) [1.000]","3"
"Pn2.1583",1406,"Zinc finger (C3HC4-type RING finger) family protein [1.000]","Zinc finger (C3HC4-type RING finger) family protein","Vwaint (PF14624) [0.921] | zf-RING_2 (PF13639) [0.762] | VWA (PF00092) [0.714] | VWA_2 (PF13519) [0.175] | VWA_3 (PF13768) [0.095] | zf-Apc11 (PF12861) [0.032]","protein binding (GO:0005515) [0.762] | zinc ion binding (GO:0008270) [0.762] | ubiquitin-protein ligase activity (GO:0004842) [0.032]","NULL / Representative annotation below 0.1%","5"
"Pn2.1587",3947,"Chromodomain-helicase-DNA-binding protein 3 [0.444] | ATP-dependent helicase family protein [0.167] | Chromodomain-helicase-DNA-binding protein 8 [0.111] | Chromodomain-helicase-DNA-binding protein 5 [0.111] | Chromodomain-helicase-DNA-binding protein 1 [0.083] | Chromodomain-helicase-DNA-binding protein Mi-2 homolog [0.028] | chromatin remodeling 4 [0.028]","ATP-dependent helicase family protein","Chromo (PF00385) [0.444] | SNF2_N (PF00176) [0.444] | zf-CW (PF07496) [0.028] | Helicase_C (PF00271) [0.028] | PHD (PF00628) [0.028]","ATP binding (GO:0005524) [0.444] | DNA binding (GO:0003677) [0.444] | protein binding (GO:0005515) [0.028] | nucleic acid binding (GO:0003676) [0.028] | zinc ion binding (GO:0008270) [0.028] | helicase activity (GO:0004386) [0.028]","NULL / Representative annotation below 0.1%","3"
"Pn2.1597",408,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF640)","DUF640 (PF04852) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn2.1615",3322,"Ankyrin repeat family protein [0.925] | ankyrin repeat family protein [0.050]","Ankyrin repeat family protein","Ank_2 (PF12796) [1.000] | PGG (PF13962) [0.925] | Ank (PF00023) [0.200] | Ank_4 (PF13637) [0.075] | Ank_5 (PF13857) [0.075] | Ank_3 (PF13606) [0.025]","protein binding (GO:0005515) [0.225]","NULL / Representative annotation below 0.1%","2"
"Pn2.1618",1147,"Endoglucanase 25 [0.406] | Endoglucanase 12 [0.261] | Endoglucanase 10 [0.101] | Endoglucanase 7 [0.101] | Endoglucanase 9 [0.101] | Endoglucanase 21 [0.029]","glycosyl hydrolase 9A1 | glycosyl hydrolase 9A3 | Six-hairpin glycosidases superfamily protein","Glyco_hydro_9 (PF00759) [1.000]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000]","5"
"Pn2.169",998,"Protein kinase superfamily protein [0.986] | Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B beta isoform [0.014]","Protein kinase protein with adenine nucleotide alpha hydrolases-like domain | Protein kinase superfamily protein","Pkinase_Tyr (PF07714) [0.959] | Pkinase (PF00069) [0.041] | Usp (PF00582) [0.014]","protein kinase activity (GO:0004672) [1.000] | ATP binding (GO:0005524) [0.041]","protein phosphorylation (GO:0006468) [1.000] | response to stress (GO:0006950) [0.014]","6"
"Pn2.1695",11066,"Pentatricopeptide repeat (PPR) superfamily protein [1.000]","Pentatricopeptide repeat (PPR) superfamily protein","PPR (PF01535) [1.000] | PPR_2 (PF13041) [0.882] | PPR_1 (PF12854) [0.294] | PPR_3 (PF13812) [0.235]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn2.1723",408,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF640)","DUF640 (PF04852) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn2.1750",2173,"Ankyrin repeat family protein [1.000]","Ankyrin repeat family protein","Ank_2 (PF12796) [1.000] | PGG (PF13962) [0.961] | Ank_3 (PF13606) [0.294] | Ank (PF00023) [0.235] | Ank_5 (PF13857) [0.118] | Ank_4 (PF13637) [0.039]","protein binding (GO:0005515) [0.490]","NULL / Representative annotation below 0.1%","2"
"Pn2.1774",1090,"phototropin 1 [0.535] | phototropin 2 [0.437] | Protein kinase superfamily protein [0.028]","phototropin 1 | phototropin 2","PAS_9 (PF13426) [0.972] | Pkinase (PF00069) [0.915]","signal transducer activity (GO:0004871) [0.972] | ATP binding (GO:0005524) [0.915] | protein kinase activity (GO:0004672) [0.915]","signal transduction (GO:0007165) [0.972] | protein phosphorylation (GO:0006468) [0.915]","3"
"Pn2.1775",554,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [0.557] | Kinesin-related protein 13 [0.423] | kinesin 4 [0.010] | kinesin 5 [0.010]","P-loop containing nucleoside triphosphate hydrolases superfamily protein | ATP binding microtubule motor family protein","Kinesin (PF00225) [0.979]","ATP binding (GO:0005524) [0.979] | microtubule binding (GO:0008017) [0.979] | microtubule motor activity (GO:0003777) [0.979]","microtubule-based movement (GO:0007018) [0.979]","3"
"Pn2.1785",8805,"50S ribosomal protein L10 [0.958] | 50S ribosomal protein L10, chloroplastic [0.042]","Ribosomal protein L10 family protein","Ribosomal_L10 (PF00466) [1.000]","NULL / Representative annotation below 0.1%","ribosome biogenesis (GO:0042254) [1.000]","4"
"Pn2.1838",1127,"AP2-like ethylene-responsive transcription factor [1.000]","related to AP2.7","AP2 (PF00847) [1.000]","sequence-specific DNA binding transcription factor activity (GO:0003700) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","3"
"Pn2.186",1825,"pentatricopeptide (PPR) repeat-containing protein [0.875] | Pentatricopeptide repeat-containing protein [0.125]","pentatricopeptide (PPR) repeat-containing protein","PPR (PF01535) [0.982] | PPR_2 (PF13041) [0.964] | PPR_1 (PF12854) [0.321] | PPR_3 (PF13812) [0.161]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn2.1881",4973,"Cell number regulator 8 [0.625] | PLAC8 family protein [0.344] | Protein PLANT CADMIUM RESISTANCE 10 [0.031]","PLAC8 family protein","PLAC8 (PF04749) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn2.1897",4581,"Transcription and mRNA export factor ENY2 [0.848]","Unkown protein(s) / No TAIR description(s)","EnY2 (PF10163) [1.000] | SRF-TF (PF00319) [0.030]","transcription coactivator activity (GO:0003713) [1.000] | DNA binding (GO:0003677) [0.030] | protein dimerization activity (GO:0046983) [0.030]","mRNA export from nucleus (GO:0006406) [1.000] | positive regulation of transcription, DNA-templated (GO:0045893) [1.000]","2"
"Pn2.1900",2023,"Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein [0.962] | PHD finger protein ALFIN-LIKE 1 [0.019] | Chaperone protein ClpB [0.019]","Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein","AAA_2 (PF07724) [0.717] | Clp_N (PF02861) [0.075] | DUF3594 (PF12165) [0.019] | PHD (PF00628) [0.019]","ATP binding (GO:0005524) [0.717] | protein binding (GO:0005515) [0.019] | histone binding (GO:0042393) [0.019]","protein metabolic process (GO:0019538) [0.075] | regulation of transcription, DNA-templated (GO:0006355) [0.019]","1"
"Pn2.1903",806,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [1.000]","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | jasmonate-regulated gene 21","2OG-FeII_Oxy (PF03171) [1.000] | DIOX_N (PF14226) [0.951]","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn2.1904",3340,"fatty acid desaturase 8 [0.750] | fatty acid desaturase 7 [0.250]","fatty acid desaturase 8 | fatty acid desaturase 7","DUF3474 (PF11960) [1.000] | FA_desaturase (PF00487) [1.000]","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water (GO:0016717) [1.000]","lipid metabolic process (GO:0006629) [1.000] | oxidation-reduction process (GO:0055114) [1.000]","5"
"Pn2.1920",2092,"External alternative NAD(P)H-ubiquinone oxidoreductase B1, mitochondrial [1.000]","alternative  NAD(P)H dehydrogenase 1 | alternative NAD(P)H dehydrogenase 2","Pyr_redox_2 (PF07992) [1.000] | Pyr_redox (PF00070) [0.962]","oxidoreductase activity (GO:0016491) [1.000] | flavin adenine dinucleotide binding (GO:0050660) [0.962]","oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn2.1931",6421,"Mitochondrial substrate carrier family protein [1.000]","Mitochondrial substrate carrier family protein","Mito_carr (PF00153) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn2.1985",1284,"Nuclear transport factor 2 (NTF2) family protein [0.924] | Wound-induced protein 1 [0.076]","Nuclear transport factor 2 (NTF2) family protein | senescence associated gene 20","WI12 (PF07107) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn2.2021",5521,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF399 and DUF3411)","DUF3411 (PF11891) [1.000] | DUF399 (PF04187) [0.967] | PX (PF00787) [0.067] | Vps5 (PF09325) [0.067]","phosphatidylinositol binding (GO:0035091) [0.067]","NULL / Representative annotation below 0.1%","4"
"Pn2.2049",9143,"telomerase reverse transcriptase [0.739] | Telomerase reverse transcriptase [0.174] | Retrovirus-related Pol polyprotein from transposon TNT 1-94 [0.087]","telomerase reverse transcriptase","Telomerase_RBD (PF12009) [0.783] | RVT_1 (PF00078) [0.739]","RNA-directed DNA polymerase activity (GO:0003964) [0.826] | RNA binding (GO:0003723) [0.739]","RNA-dependent DNA replication (GO:0006278) [0.739]","3"
"Pn2.2115",6557,"pathogenesis related homeodomain protein A [1.000]","pathogenesis related homeodomain protein  A","Homeobox (PF00046) [0.929] | PHD (PF00628) [0.929] | UBN2_3 (PF14244) [0.036]","sequence-specific DNA binding (GO:0043565) [0.929] | protein binding (GO:0005515) [0.929] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.929]","regulation of transcription, DNA-templated (GO:0006355) [0.929]","3"
"Pn2.2145",1804,"Cell division protein FtsP [0.982] | Cupredoxin superfamily protein [0.018]","Cupredoxin superfamily protein","Cu-oxidase_2 (PF07731) [0.946] | Cu-oxidase_3 (PF07732) [0.911] | Cu-oxidase (PF00394) [0.893]","copper ion binding (GO:0005507) [1.000] | oxidoreductase activity (GO:0016491) [0.982]","oxidation-reduction process (GO:0055114) [0.982]","4"
"Pn2.2153",511,"poly(A) polymerase 2 [0.550] | poly(A) polymerase 1 [0.440] | nuclear poly(a) polymerase [0.010]","nuclear poly(a) polymerase | poly(A) polymerase 2 | poly(A) polymerase 1","PAP_central (PF04928) [0.990] | PAP_RNA-bind (PF04926) [0.970] | NTP_transf_2 (PF01909) [0.890]","polynucleotide adenylyltransferase activity (GO:0004652) [1.000] | RNA binding (GO:0003723) [0.970] | nucleotidyltransferase activity (GO:0016779) [0.890]","RNA polyadenylation (GO:0043631) [1.000]","3"
"Pn2.2166",8581,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","6"
"Pn2.2183",2058,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DUF1645 (PF07816) [0.038]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn2.2226",3106,"Octicosapeptide/Phox/Bem1p family protein [1.000]","Octicosapeptide/Phox/Bem1p family protein","PB1 (PF00564) [0.976]","protein binding (GO:0005515) [0.976]","NULL / Representative annotation below 0.1%","2"
"Pn2.2240",9884,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn2.2245",2014,"geranylgeranyl pyrophosphate synthase 1 [1.000]","geranylgeranyl pyrophosphate synthase 1 | Terpenoid synthases superfamily protein","polyprenyl_synt (PF00348) [1.000]","NULL / Representative annotation below 0.1%","isoprenoid biosynthetic process (GO:0008299) [1.000]","5"
"Pn2.2271",1984,"Gibberellin 2-beta-dioxygenase [0.370] | Gibberellin 2-beta-dioxygenase 1 [0.352] | gibberellin 2-oxidase [0.241] | Gibberellin 2-beta-dioxygenase 2 [0.037]","Arabidopsis thaliana gibberellin 2-oxidase 1 | gibberellin 2-oxidase","DIOX_N (PF14226) [1.000] | 2OG-FeII_Oxy (PF03171) [1.000]","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","1"
"Pn2.2288",11,"Leucine-rich receptor-like protein kinase family protein [0.783] | Leucine-rich repeat receptor-like protein kinase family protein [0.105] | Leucine-rich repeat protein kinase family protein [0.070] | Vacuolar protein sorting-associated protein 18 homolog [0.036] | Receptor-like protein kinase 5 [0.003] | somatic embryogenesis receptor-like kinase 5 [0.001] | zinc ion binding [0.001]","Leucine-rich repeat protein kinase family protein | Leucine-rich receptor-like protein kinase family protein | EF-TU receptor | zinc ion binding","LRR_1 (PF00560) [0.860] | LRR_8 (PF13855) [0.834] | Pkinase (PF00069) [0.752] | LRRNT_2 (PF08263) [0.740] | LRR_4 (PF12799) [0.267] | LRR_6 (PF13516) [0.247] | Pkinase_Tyr (PF07714) [0.197] | Pep3_Vps18 (PF05131) [0.032] | Clathrin (PF00637) [0.028] | LRR_7 (PF13504) [0.027] | zf-RVT (PF13966) [0.003] | Cupin_1 (PF00190) [0.001] | C2 (PF00168) [0.001] | tRNA_synt_1c_R1 (PF04558) [0.001] | RVT_1 (PF00078) [0.001] | Copine (PF07002) [0.001] | Prenyltransf (PF01255) [0.001] | tRNA-synt_1c (PF00749) [0.001] | DUF1298 (PF06974) [0.001] | zf-HIT (PF04438) [0.001] | HCNGP (PF07818) [0.001]","protein kinase activity (GO:0004672) [0.927] | protein binding (GO:0005515) [0.860] | ATP binding (GO:0005524) [0.752] | RNA binding (GO:0003723) [0.001] | nutrient reservoir activity (GO:0045735) [0.001] | transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765) [0.001] | diacylglycerol O-acyltransferase activity (GO:0004144) [0.001] | aminoacyl-tRNA ligase activity (GO:0004812) [0.001] | nucleotide binding (GO:0000166) [0.001] | ligase activity, forming aminoacyl-tRNA and related compounds (GO:0016876) [0.001] | RNA-directed DNA polymerase activity (GO:0003964) [0.001]","protein phosphorylation (GO:0006468) [0.927] | intracellular protein transport (GO:0006886) [0.028] | vesicle-mediated transport (GO:0016192) [0.028] | tRNA aminoacylation for protein translation (GO:0006418) [0.001] | tRNA aminoacylation (GO:0043039) [0.001] | regulation of transcription, DNA-templated (GO:0006355) [0.001] | RNA-dependent DNA replication (GO:0006278) [0.001]","3"
