"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn3.2358",1002,"fructose-bisphosphate aldolase 2 [0.905] | fructose-bisphosphate aldolase 1 [0.095]","Aldolase superfamily protein | fructose-bisphosphate aldolase 1 | fructose-bisphosphate aldolase 2","Glycolytic (PF00274) [1.000] | RVT_2 (PF07727) [0.014]","fructose-bisphosphate aldolase activity (GO:0004332) [1.000]","glycolysis (GO:0006096) [1.000]","1"
"Pn3.257",9738,"Pectin lyase-like superfamily protein [1.000]","pectinesterase 11","Pectinesterase (PF01095) [1.000]","pectinesterase activity (GO:0030599) [1.000]","cell wall modification (GO:0042545) [1.000]","3"
"Pn3.259",12304,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn3.3195",3285,"annexin 8 [0.950] | annexin 1 [0.050]","annexin 8","Annexin (PF00191) [1.000]","calcium ion binding (GO:0005509) [1.000] | calcium-dependent phospholipid binding (GO:0005544) [1.000]","NULL / Representative annotation below 0.1%","3"
"Pn3.3296",5118,"Pectin lyase-like superfamily protein [1.000]","Pectin lyase-like superfamily protein","Glyco_hydro_28 (PF00295) [1.000] | Complex1_LYR (PF05347) [0.032]","polygalacturonase activity (GO:0004650) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000]","4"
"Pn3.3402",3446,"Aldehyde dehydrogenase family 7 member A1 [0.590] | Aldehyde dehydrogenase family 7 member B4 [0.410]","aldehyde dehydrogenase 7B4","Aldedh (PF00171) [1.000]","oxidoreductase activity (GO:0016491) [1.000]","metabolic process (GO:0008152) [1.000] | oxidation-reduction process (GO:0055114) [1.000]","5"
"Pn3.3529",294,"Glutathione S-transferase family protein [0.674] | glutathione S-transferase 7 [0.116] | glutathione S-transferase 6 [0.078] | glutathione S-transferase F3 [0.054] | glutathione S-transferase F4 [0.031] | Glutathione S-transferase 1 [0.031] | Glutathione S-transferase F9 [0.016]","glutathione S-transferase phi 8 | glutathione S-transferase 6 | glutathione S-transferase PHI 9 | Glutathione S-transferase family protein | glutathione S-transferase F4 | glutathione S-transferase 7","GST_C (PF00043) [1.000] | GST_N (PF02798) [0.837] | GST_N_3 (PF13417) [0.124] | GST_N_2 (PF13409) [0.008]","protein binding (GO:0005515) [0.961]","NULL / Representative annotation below 0.1%","3"
"Pn3.3541",294,"Glutathione S-transferase family protein [0.674] | glutathione S-transferase 7 [0.116] | glutathione S-transferase 6 [0.078] | glutathione S-transferase F3 [0.054] | glutathione S-transferase F4 [0.031] | Glutathione S-transferase 1 [0.031] | Glutathione S-transferase F9 [0.016]","glutathione S-transferase phi 8 | glutathione S-transferase 6 | glutathione S-transferase PHI 9 | Glutathione S-transferase family protein | glutathione S-transferase F4 | glutathione S-transferase 7","GST_C (PF00043) [1.000] | GST_N (PF02798) [0.837] | GST_N_3 (PF13417) [0.124] | GST_N_2 (PF13409) [0.008]","protein binding (GO:0005515) [0.961]","NULL / Representative annotation below 0.1%","4"
"Pn3.3558",294,"Glutathione S-transferase family protein [0.674] | glutathione S-transferase 7 [0.116] | glutathione S-transferase 6 [0.078] | glutathione S-transferase F3 [0.054] | glutathione S-transferase F4 [0.031] | Glutathione S-transferase 1 [0.031] | Glutathione S-transferase F9 [0.016]","glutathione S-transferase phi 8 | glutathione S-transferase 6 | glutathione S-transferase PHI 9 | Glutathione S-transferase family protein | glutathione S-transferase F4 | glutathione S-transferase 7","GST_C (PF00043) [1.000] | GST_N (PF02798) [0.837] | GST_N_3 (PF13417) [0.124] | GST_N_2 (PF13409) [0.008]","protein binding (GO:0005515) [0.961]","NULL / Representative annotation below 0.1%","4"
"Pn3.3602",10025,"Prefoldin chaperone subunit family protein [0.524] | BEST Arabidopsis thaliana protein match is: Prefoldin chaperone subunit family protein . [0.238] | Calcium-binding and coiled-coil domain-containing protein 1 [0.048] | Serine/threonine-protein kinase MRCK beta [0.048]","Prefoldin chaperone subunit family protein","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn3.3649",10919,"Natterin-4 [0.278] | Natterin-3 [0.056]","Unkown protein(s) / No TAIR description(s)","Aerolysin (PF01117) [0.611] | Agglutinin (PF07468) [0.444] | Fascin (PF06268) [0.056]","protein binding, bridging (GO:0030674) [0.056] | actin filament binding (GO:0051015) [0.056]","pathogenesis (GO:0009405) [0.611]","5"
"Pn3.3681",10346,"winged-helix DNA-binding transcription factor family protein [0.500] | high mobility group A [0.300] | HMG-Y-related protein A [0.100] | telomere repeat binding factor 1 [0.100]","high mobility group A","Linker_histone (PF00538) [1.000] | AT_hook (PF02178) [0.700]","DNA binding (GO:0003677) [1.000]","nucleosome assembly (GO:0006334) [1.000]","2"
"Pn3.3824",11807,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DUF868 (PF05910) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn3.3933",1742,"calmodulin-binding family protein [1.000]","calmodulin-binding family protein","IQ (PF00612) [0.053]","protein binding (GO:0005515) [0.053]","NULL / Representative annotation below 0.1%","2"
"Pn3.3988",2590,"Transmembrane protein 19 [0.553] | Tudor domain-containing protein 3 [0.255]","Domain of unknown function (DUF1767) | Protein of unknown function DUF92, transmembrane","DUF92 (PF01940) [0.574] | DUF1767 (PF08585) [0.426]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn3.4001",27,"pleiotropic drug resistance 12 [0.385] | pleiotropic drug resistance 9 [0.120] | pleiotropic drug resistance 6 [0.102] | pleiotropic drug resistance 11 [0.088] | pleiotropic drug resistance 7 [0.080] | pleiotropic drug resistance 3 [0.066] | pleiotropic drug resistance 4 [0.050] | pleiotropic drug resistance 1 [0.046] | Pentatricopeptide repeat-containing protein [0.032] | pleiotropic drug resistance 5 [0.012] | pleiotropic drug resistance 13 [0.010] | pleiotropic drug resistance 10 [0.006] | pleiotropic drug resistance 2 [0.004]","ABC-2 and Plant PDR ABC-type transporter family protein | pleiotropic drug resistance 6 | Tetratricopeptide repeat (TPR)-like superfamily protein | pleiotropic drug resistance 11 | pleiotropic drug resistance 3 | pleiotropic drug resistance 9 | pleiotropic drug resistance 1 | pleiotropic drug resistance 10 | pleiotropic drug resistance 13 | pleiotropic drug resistance 2 | pleiotropic drug resistance 12 | pleiotropic drug resistance 4 | pleiotropic drug resistance 7 | pleiotropic drug resistance 5","ABC_tran (PF00005) [0.954] | ABC2_membrane (PF01061) [0.952] | PDR_assoc (PF08370) [0.894] | ABC_trans_N (PF14510) [0.768] | PPR (PF01535) [0.036] | PPR_2 (PF13041) [0.036] | PPR_3 (PF13812) [0.012] | AAA (PF00004) [0.006] | UBN2 (PF14223) [0.004] | PPR_1 (PF12854) [0.004] | rve (PF00665) [0.004] | gag_pre-integrs (PF13976) [0.002] | DUF1668 (PF07893) [0.002] | DUF4219 (PF13961) [0.002]","ATP binding (GO:0005524) [0.954] | ATPase activity (GO:0016887) [0.954]","DNA integration (GO:0015074) [0.004]","4"
"Pn3.4013",2155,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn3.4097",963,"DEAD-box ATP-dependent RNA helicase 37 [0.760] | DEAD-box ATP-dependent RNA helicase 52 [0.213] | DEAD-box ATP-dependent RNA helicase 11 [0.027]","P-loop containing nucleoside triphosphate hydrolases superfamily protein | DEA(D/H)-box RNA helicase family protein","DEAD (PF00270) [1.000] | Helicase_C (PF00271) [0.947] | Sel1 (PF08238) [0.013]","ATP-dependent helicase activity (GO:0008026) [1.000] | ATP binding (GO:0005524) [1.000] | nucleic acid binding (GO:0003676) [1.000] | helicase activity (GO:0004386) [0.947]","NULL / Representative annotation below 0.1%","6"
"Pn3.4306",706,"4-coumarate:CoA ligase 2 [0.360] | 4-coumarate--CoA ligase-like 5 [0.221] | 4-coumarate:CoA ligase 3 [0.140] | 4-coumarate--CoA ligase-like 7 [0.093] | 4-coumarate--CoA ligase-like 4 [0.070] | 4-coumarate--CoA ligase-like 1 [0.058] | 4-coumarate--CoA ligase-like 2 [0.023] | 4-coumarate--CoA ligase-like 3 [0.012] | 4-coumarate--CoA ligase-like 8 [0.012] | 4-coumarate:CoA ligase 5 [0.012]","AMP-dependent synthetase and ligase family protein | OPC-8:0 CoA ligase1","AMP-binding (PF00501) [1.000] | AMP-binding_C (PF13193) [0.942] | RVT_3 (PF13456) [0.012] | peroxidase (PF00141) [0.012] | Ist1 (PF03398) [0.012]","catalytic activity (GO:0003824) [1.000] | peroxidase activity (GO:0004601) [0.012] | heme binding (GO:0020037) [0.012]","metabolic process (GO:0008152) [1.000] | oxidation-reduction process (GO:0055114) [0.012] | response to oxidative stress (GO:0006979) [0.012]","3"
"Pn3.4320",8926,"Defensin-like protein 19 [0.435] | Defensin-like protein 3 [0.261] | Defensin-like protein 16 [0.087] | Defensin-like protein 17 [0.043] | Defensin-like protein 14 [0.043] | Defensin-like protein 2 [0.043]","plant defensin 1.2 | Arabidopsis defensin-like protein | plant defensin 1.2b | plant defensin 1.3 | plant defensin 1.2C","Gamma-thionin (PF00304) [1.000]","NULL / Representative annotation below 0.1%","defense response (GO:0006952) [1.000]","3"
"Pn3.4462",210,"Raffinose synthase family protein [0.792] | Leucine-rich repeat receptor-like protein kinase family protein [0.047] | Leucine-rich receptor-like protein kinase family protein [0.027] | receptor like protein 52 [0.027] | receptor like protein 27 [0.027] | receptor like protein 12 [0.020] | receptor like protein 54 [0.013] | Leucine-rich repeat protein kinase family protein [0.013] | receptor like protein 43 [0.013] | receptor like protein 33 [0.013] | receptor like protein 6 [0.007]","Raffinose synthase family protein | seed imbibition 1 | seed imbibition 2","Raffinose_syn (PF05691) [0.805] | LRR_1 (PF00560) [0.174] | LRR_8 (PF13855) [0.174] | LRRNT_2 (PF08263) [0.141] | LRR_6 (PF13516) [0.047] | LRR_4 (PF12799) [0.034] | LRR_7 (PF13504) [0.013]","protein binding (GO:0005515) [0.174]","NULL / Representative annotation below 0.1%","6"
"Pn3.4765",931,"Unkown protein / Representative AHRD below 0.1%","Plant protein 1589 of unknown function","A_thal_3526 (PF09713) [1.000] | Rad51 (PF08423) [0.013]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn3.4914",114,"DNA-directed RNA polymerase subunit beta [0.191] | DNA-directed RNA polymerase subunit beta'' [0.169] | serine-rich protein-related [0.169] | DNA-directed RNA polymerase subunit beta' [0.133] | ATP synthase subunit alpha, chloroplastic [0.093] | 30S ribosomal protein S2, chloroplastic [0.084] | Cytochrome c oxidase subunit 2 [0.084] | ATP synthase subunit alpha, mitochondrial [0.062] | ATP synthase subunit alpha [0.004] | DNA-directed RNA polymerase family protein chrC:20251-23084 REVERSE [0.004]","serine-rich protein-related | DNA-directed RNA polymerase family protein | ATP synthase subunit alpha | ATP synthase subunit 1 | cytochrome oxidase 2 | RNA polymerase subunit beta | ATPase, F1 complex, alpha subunit protein | ribosomal protein S2","ATP-synt_ab (PF00006) [0.120] | RNA_pol_Rpb1_1 (PF04997) [0.120] | RNA_pol_Rpb2_6 (PF00562) [0.111] | ATP-synt_ab_N (PF02874) [0.111] | ATP-synt_ab_C (PF00306) [0.111] | RNA_pol_Rpb1_2 (PF00623) [0.102] | RNA_pol_Rpb1_5 (PF04998) [0.102] | RNA_pol_Rpb2_2 (PF04561) [0.098] | RNA_pol_Rpb1_3 (PF04983) [0.098] | RNA_pol_Rpb2_7 (PF04560) [0.093] | Ribosomal_S2 (PF00318) [0.093] | RNA_pol_Rpb2_1 (PF04563) [0.089] | RNA_pol_Rpb2_3 (PF04565) [0.076] | COX2 (PF00116) [0.076] | COX2_TM (PF02790) [0.062] | RNA_pol_Rpb1_4 (PF05000) [0.049] | ATP-synt_A (PF00119) [0.018] | ATP-synt_B (PF00430) [0.009] | Nodulin_late (PF07127) [0.009] | ATP-synt_C (PF00137) [0.004] | Complex1_30kDa (PF00329) [0.004] | PsbM (PF05151) [0.004] | OSCP (PF00213) [0.004] | PsaA_PsaB (PF00223) [0.004] | Ribosomal_L16 (PF00252) [0.004]","DNA-directed RNA polymerase activity (GO:0003899) [0.413] | DNA binding (GO:0003677) [0.413] | ATP binding (GO:0005524) [0.120] | hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances (GO:0016820) [0.111] | structural constituent of ribosome (GO:0003735) [0.098] | copper ion binding (GO:0005507) [0.076] | cytochrome-c oxidase activity (GO:0004129) [0.076] | hydrogen ion transmembrane transporter activity (GO:0015078) [0.022] | metal ion binding (GO:0046872) [0.009] | NADH dehydrogenase (ubiquinone) activity (GO:0008137) [0.004] | proton-transporting ATP synthase activity, rotational mechanism (GO:0046933) [0.004]","transcription, DNA-templated (GO:0006351) [0.413] | ATP hydrolysis coupled proton transport (GO:0015991) [0.116] | proton transport (GO:0015992) [0.111] | ATP metabolic process (GO:0046034) [0.111] | translation (GO:0006412) [0.098] | electron transport chain (GO:0022900) [0.062] | ATP synthesis coupled proton transport (GO:0015986) [0.027] | photosynthesis (GO:0015979) [0.009] | nodule morphogenesis (GO:0009878) [0.009] | photosynthesis, light reaction (GO:0019684) [0.004] | oxidation-reduction process (GO:0055114) [0.004]","6"
"Pn3.4983",7331,"N-methyl-L-tryptophan oxidase [0.923] | Peroxisomal sarcosine oxidase [0.077]","FAD-dependent oxidoreductase family protein","DAO (PF01266) [1.000] | RRM_1 (PF00076) [0.038] | zf-CCHC (PF00098) [0.038]","oxidoreductase activity (GO:0016491) [1.000] | nucleic acid binding (GO:0003676) [0.038] | zinc ion binding (GO:0008270) [0.038]","oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn3.529",2155,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn3.903",673,"NAD(P)-binding Rossmann-fold superfamily protein [1.000]","Unkown protein(s) / No TAIR description(s)","adh_short (PF00106) [0.708] | adh_short_C2 (PF13561) [0.315] | DUF4371 (PF14291) [0.011]","oxidoreductase activity (GO:0016491) [0.708]","metabolic process (GO:0008152) [0.708]","3"
"Pn3.908",10346,"winged-helix DNA-binding transcription factor family protein [0.500] | high mobility group A [0.300] | HMG-Y-related protein A [0.100] | telomere repeat binding factor 1 [0.100]","high mobility group A","Linker_histone (PF00538) [1.000] | AT_hook (PF02178) [0.700]","DNA binding (GO:0003677) [1.000]","nucleosome assembly (GO:0006334) [1.000]","2"
"Pn30.105",12380,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn30.11",1055,"Acyl-[acyl-carrier-protein] desaturase, chloroplastic [0.500] | Acyl-[acyl-carrier-protein] desaturase 5, chloroplastic [0.167] | Acyl-[acyl-carrier-protein] desaturase 6, chloroplastic [0.167] | Acyl-[acyl-carrier-protein] desaturase 1, chloroplastic [0.069] | Acyl-[acyl-carrier-protein] desaturase 2, chloroplastic [0.069] | Acyl-[acyl-carrier-protein] desaturase 7, chloroplastic [0.028]","Plant stearoyl-acyl-carrier-protein desaturase family protein","FA_desaturase_2 (PF03405) [1.000]","acyl-[acyl-carrier-protein] desaturase activity (GO:0045300) [1.000]","fatty acid metabolic process (GO:0006631) [1.000] | oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn30.196",5524,"Unkown protein / Representative AHRD below 0.1%","Protein of Unknown Function (DUF239)","DUF239 (PF03080) [1.000] | DUF4409 (PF14365) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn30.208",348,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF3511)","DUF3511 (PF12023) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn30.247",5403,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [0.968] | leucine-rich repeat/extensin 2 [0.032]","P-loop containing nucleoside triphosphate hydrolases superfamily protein","PRK (PF00485) [0.161]","ATP binding (GO:0005524) [0.161] | kinase activity (GO:0016301) [0.161]","metabolic process (GO:0008152) [0.161]","1"
"Pn31.247",4493,"protodermal factor 1 [0.971]","protodermal factor 1","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn31.279",900,"Eukaryotic aspartyl protease family protein [0.987] | 60S ribosomal protein L18A-1 [0.013]","Eukaryotic aspartyl protease family protein","TAXi_C (PF14541) [1.000] | TAXi_N (PF14543) [0.962] | Asp (PF00026) [0.013] | Ribosomal_L18ae (PF01775) [0.013]","structural constituent of ribosome (GO:0003735) [0.013] | aspartic-type endopeptidase activity (GO:0004190) [0.013]","translation (GO:0006412) [0.013] | proteolysis (GO:0006508) [0.013]","2"
"Pn31.327",10427,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","AAT (PF03417) [1.000]","NULL / Representative annotation below 0.1%","penicillin biosynthetic process (GO:0042318) [1.000]","6"
